날짜,패션잡화
2019-10-04,74
2019-10-05,83
2019-10-06,91
2019-10-07,81
2019-10-08,72
2019-10-09,89
2019-10-10,76
2019-10-11,69
2019-10-12,79
2019-10-13,86
2019-10-14,74
2019-10-15,71
2019-10-16,72
2019-10-17,70
2019-10-18,66
2019-10-19,74
2019-10-20,83
2019-10-21,73
2019-10-22,74
2019-10-23,73
2019-10-24,71
2019-10-25,66
2019-10-26,75
2019-10-27,82
2019-10-28,75
2019-10-29,73
2019-10-30,70
2019-10-31,68
2019-11-01,65
2019-11-02,79
2019-11-03,87
2019-11-04,74
2019-11-05,74
2019-11-06,74
2019-11-07,73
2019-11-08,71
2019-11-09,78
2019-11-10,89
2019-11-11,77
2019-11-12,77
2019-11-13,78
2019-11-14,76
2019-11-15,74
2019-11-16,81
2019-11-17,96
2019-11-18,83
2019-11-19,86
2019-11-20,82
2019-11-21,77
2019-11-22,69
2019-11-23,78
2019-11-24,89
2019-11-25,81
2019-11-26,79
2019-11-27,81
2019-11-28,79
2019-11-29,72
2019-11-30,83
2019-12-01,100
2019-12-02,84
2019-12-03,87
2019-12-04,84
2019-12-05,85
2019-12-06,79
2019-12-07,86
2019-12-08,97
2019-12-09,85
2019-12-10,81
2019-12-11,80
2019-12-12,78
2019-12-13,72
2019-12-14,80
2019-12-15,90
2019-12-16,78
2019-12-17,80
2019-12-18,71
2019-12-19,66
2019-12-20,61
2019-12-21,70
2019-12-22,79
2019-12-23,66
2019-12-24,58
2019-12-25,79
2019-12-26,64
2019-12-27,60
2019-12-28,69
2019-12-29,76
2019-12-30,64
2019-12-31,57
2020-01-01,76
