날짜,패션잡화
2019-11-28,76
2019-11-29,68
2019-11-30,74
2019-12-01,98
2019-12-02,92
2019-12-03,89
2019-12-04,84
2019-12-05,82
2019-12-06,76
2019-12-07,78
2019-12-08,96
2019-12-09,90
2019-12-10,85
2019-12-11,83
2019-12-12,78
2019-12-13,69
2019-12-14,72
2019-12-15,88
2019-12-16,84
2019-12-17,81
2019-12-18,74
2019-12-19,68
2019-12-20,60
2019-12-21,63
2019-12-22,78
2019-12-23,69
2019-12-24,56
2019-12-25,68
2019-12-26,67
2019-12-27,60
2019-12-28,64
2019-12-29,75
2019-12-30,65
2019-12-31,56
2020-01-01,66
