날짜,생활용품
2019-10-31,64
2019-11-01,64
2019-11-02,62
2019-11-03,76
2019-11-04,82
2019-11-05,76
2019-11-06,74
2019-11-07,70
2019-11-08,63
2019-11-09,62
2019-11-10,75
2019-11-11,82
2019-11-12,78
2019-11-13,74
2019-11-14,75
2019-11-15,66
2019-11-16,62
2019-11-17,75
2019-11-18,85
2019-11-19,82
2019-11-20,80
2019-11-21,75
2019-11-22,58
2019-11-23,57
2019-11-24,69
2019-11-25,77
2019-11-26,75
2019-11-27,72
2019-11-28,66
2019-11-29,58
2019-11-30,59
2019-12-01,79
2019-12-02,84
2019-12-03,81
2019-12-04,78
2019-12-05,76
2019-12-06,70
2019-12-07,65
2019-12-08,75
2019-12-09,80
2019-12-10,73
2019-12-11,73
2019-12-12,70
2019-12-13,58
2019-12-14,56
2019-12-15,70
2019-12-16,74
2019-12-17,70
2019-12-18,67
2019-12-19,62
2019-12-20,53
2019-12-21,52
2019-12-22,63
2019-12-23,63
2019-12-24,51
2019-12-25,59
2019-12-26,64
2019-12-27,55
2019-12-28,57
2019-12-29,64
2019-12-30,62
2019-12-31,50
2020-01-01,75
