날짜,화장품/미용
2019-06-28,68
2019-06-29,77
2019-06-30,79
2019-07-01,84
2019-07-02,83
2019-07-03,85
2019-07-04,78
2019-07-05,72
2019-07-06,77
2019-07-07,82
2019-07-08,84
2019-07-09,81
2019-07-10,81
2019-07-11,78
2019-07-12,69
2019-07-13,76
2019-07-14,82
2019-07-15,85
2019-07-16,81
2019-07-17,80
2019-07-18,78
2019-07-19,71
2019-07-20,74
2019-07-21,79
2019-07-22,79
2019-07-23,78
2019-07-24,77
2019-07-25,72
2019-07-26,67
2019-07-27,67
2019-07-28,74
2019-07-29,73
2019-07-30,74
2019-07-31,73
2019-08-01,75
2019-08-02,71
2019-08-03,67
2019-08-04,79
2019-08-05,79
2019-08-06,79
2019-08-07,86
2019-08-08,78
2019-08-09,75
2019-08-10,73
2019-08-11,79
2019-08-12,81
2019-08-13,81
2019-08-14,74
2019-08-15,82
2019-08-16,71
2019-08-17,72
2019-08-18,80
2019-08-19,80
2019-08-20,80
2019-08-21,82
2019-08-22,78
2019-08-23,70
2019-08-24,72
2019-08-25,82
2019-08-26,83
2019-08-27,83
2019-08-28,82
2019-08-29,79
2019-08-30,75
2019-08-31,75
2019-09-01,87
2019-09-02,88
2019-09-03,84
2019-09-04,80
2019-09-05,81
2019-09-06,67
2019-09-07,72
2019-09-08,76
2019-09-09,69
2019-09-10,61
2019-09-11,54
2019-09-12,50
2019-09-13,53
2019-09-14,68
2019-09-15,88
2019-09-16,93
2019-09-17,90
2019-09-18,88
2019-09-19,84
2019-09-20,76
2019-09-21,77
2019-09-22,88
2019-09-23,83
2019-09-24,81
2019-09-25,80
2019-09-26,77
2019-09-27,71
2019-09-28,74
2019-09-29,79
2019-09-30,81
2019-10-01,83
2019-10-02,78
2019-10-03,80
2019-10-04,71
2019-10-05,75
2019-10-06,82
2019-10-07,81
2019-10-08,76
2019-10-09,88
2019-10-10,83
2019-10-11,76
2019-10-12,78
2019-10-13,87
2019-10-14,85
2019-10-15,84
2019-10-16,83
2019-10-17,80
2019-10-18,74
2019-10-19,76
2019-10-20,84
2019-10-21,86
2019-10-22,86
2019-10-23,85
2019-10-24,78
2019-10-25,72
2019-10-26,71
2019-10-27,85
2019-10-28,85
2019-10-29,84
2019-10-30,84
2019-10-31,78
2019-11-01,81
2019-11-02,83
2019-11-03,92
2019-11-04,92
2019-11-05,92
2019-11-06,91
2019-11-07,85
2019-11-08,79
2019-11-09,80
2019-11-10,90
2019-11-11,93
2019-11-12,89
2019-11-13,83
2019-11-14,78
2019-11-15,72
2019-11-16,76
2019-11-17,89
2019-11-18,85
2019-11-19,87
2019-11-20,83
2019-11-21,80
2019-11-22,75
2019-11-23,74
2019-11-24,86
2019-11-25,86
2019-11-26,88
2019-11-27,87
2019-11-28,79
2019-11-29,74
2019-11-30,77
2019-12-01,95
2019-12-02,91
2019-12-03,92
2019-12-04,89
2019-12-05,91
2019-12-06,81
2019-12-07,83
2019-12-08,98
2019-12-09,94
2019-12-10,90
2019-12-11,96
2019-12-12,90
2019-12-13,80
2019-12-14,83
2019-12-15,96
2019-12-16,92
2019-12-17,92
2019-12-18,88
2019-12-19,84
2019-12-20,76
2019-12-21,80
2019-12-22,91
2019-12-23,86
2019-12-24,73
2019-12-25,88
2019-12-26,83
2019-12-27,76
2019-12-28,84
2019-12-29,91
2019-12-30,80
2019-12-31,71
2020-01-01,100
